Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C8, C9",0402,4,10u/6.3V,C15525
C10,0402,1,100n/50V,C307331
"C2, C4, C7",0603,3,10u/25V,C96446
C6,0402,1,1u/50V,C52923
D1,0402,1,LED,C130724
"D2, D3, D4, D5, D6, D7",NSR20F40NXT5G,6,NSR20F40NXT5G,C153761
IC1,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,1,AVR64DD28-I_STX,C5156221
IC2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,NCP730BMT330TBG,C892821
IC3,SON50P200X200X80-9N,1,DRV8231ADSGR,C5139865
"J1, J2, J3",Solder 0.8 x 0.5,3,pad,
J10,AXK6F16347YG,1,Next18,
Q1,SOT-666,1,BC847BDW1,C455062
Q2,SOT-666,1,BC857BDW1,C282521
"Q3, Q4, Q5, Q6",Diodes_DFN1006-3,4,PMZB200UNEYL,C547292
"R1, R15, R17, R2",0402,4,33k,C25779
"R10, R9",0402,2,9.1k,C25926
"R11, R12, R5, R6",0402,4,10k,C25744
R13,0402,1,1k,C11702
"R14, R7, R8",0402,3,220k,C25767
"R16, R18",0402,2,12k,C25752
R19,0402,1,1,C4346165
R3,0402,1,3.3k,C25900
R4,0402,1,22,C25092
