Designator,Mid X,Mid Y,Rotation,Layer
C1,60.28,41.65,0.0,bottom
C10,54.09,45.13,270.0,bottom
C2,65.31,45.65,180.0,bottom
C4,65.31,44.19,180.0,bottom
C5,60.28,42.58,0.0,bottom
C6,60.27,43.52,180.0,bottom
C7,65.31,42.73,180.0,bottom
C8,56.39,43.33,180.0,bottom
C9,54.56,43.33,0.0,bottom
D1,57.71,47.01,0.0,bottom
D2,66.57,40.76,90.0,bottom
D3,65.45,40.99,270.0,bottom
D4,64.34,40.99,270.0,bottom
D5,63.22,40.7575,90.0,bottom
D6,57.72,44.7575,90.0,bottom
D7,54.44,40.42,0.0,bottom
IC1,55.83,44.7,90.0,top
IC2,55.82,45.12,90.0,bottom
IC3,60.17,47.3675,0.0,top
J1,55.74,48.19,180.0,bottom
J2,53.19,48.19,180.0,bottom
J3,54.46,48.2,180.0,bottom
Q1,60.41,44.4,90.0,top
Q2,60.41,41.39,270.0,top
Q3,65.52,47.52,270.0,bottom
Q4,63.11,47.52,270.0,bottom
Q5,64.31,47.52,270.0,bottom
Q6,66.72,47.52,270.0,bottom
R1,54.12,40.92,270.0,top
R10,58.83,41.94,90.0,bottom
R11,54.12,41.94,270.0,bottom
R12,59.79,44.94,90.0,bottom
R13,59.58,47.97,0.0,bottom
R14,57.71,47.97,0.0,bottom
R15,55.99,40.92,270.0,top
R16,55.99,41.94,270.0,bottom
R17,56.94,40.92,270.0,top
R18,56.94,41.94,270.0,bottom
R19,60.99,47.49,90.0,bottom
R2,58.85,44.94,270.0,bottom
R3,59.58,47.02,180.0,bottom
R4,60.34,40.55,0.0,bottom
R5,60.75,44.94,270.0,bottom
R6,53.16,40.92,270.0,top
R7,57.88,40.92,90.0,top
R8,58.83,40.92,90.0,top
R9,57.88,41.94,90.0,bottom
